"1-A, 1-A/A";Offering statement under Regulation A
1-A POS;"Post-qualification amendment to a 1-A offering statement"
"1-A-W, 1-A-W/A";Withdrawal of offering statement under Regulation A
"1-E, 1-E/A";"Notification under Regulation E by small business investment companies and business development companies."
"1-E AD, 1-E AD/A";"Sales material filed pursuant to Rule 607 under Regulation E."
"1-K, 1-K/A";Annual Report Pursuant to Regulation A
"1-SA, 1-SA/A";Semiannual Report Pursuant to Regulation A
"1-U, 1-U/A";Current Report pursuant to Regulation A
"1-Z, 1-Z/A";Exit Report under Regulation A
"1-Z-W, 1-Z-W/A";Withdrawal of Exit Report under Regulation A
253G1;"Reflects information previously omitted from the offering circular in reliance on Rule 253(b)"
253G2;"Reflects information that constitutes a substantive change from or addition to the information set forth in the last offering circular"
253G3;Reflects information covered in both 253G1 and 253G2
253G4;"Reflects information covered in 253G1, 253G2 or 253G3 that is not being timely filed"
"2-E, 2-E/A";"Report of sales of securities pursuant to Rule 609 under Regulation E."
"10-12B, 10-12B/A";"Initial general form for registration of a class of securities pursuant to Section 12(b)"
"10-12G, 10-12G/A";"Initial general form for registration of a class of securities pursuant to Section 12(g)"
"10-D, 10-D/A";"Periodic distribution reports by asset-backed issuers pursuant to Rule 13a-17 or 15d-17"
"10-K, 10-K/A";Annual report pursuant to Section 13 and 15(d)
"10-KT, 10-KT/A";Transition report pursuant to Rule 13a-10 or 15d-10
"10-Q, 10-Q/A";Quarterly report pursuant to Section 13 or 15(d)
"10-QT, 10-QT/A";Transition report pursuant to Rule 13a-10 or 15d-10
"11-K, 11-K/A";"Annual report of employee stock purchase, savings and similar plans"
"11-KT, 11-KT/A";Transition report pursuant to rule 13a-10 or 15d-10
"13F-HR, 13F-HR/A";"Initial Quarterly Form 13F Holdings Report filed by institutional managers"
"13F-NT, 13F-NT/A";"Initial Quarterly Form 13F Notice Report filed by institutional managers"
"13H, 13H-Q,13H-A, 13H-I,13H-R, 13H-T";"Large Trader Registration Information Required of Large Traders Pursuant to the Securities Exchange Act of 1934 and Rule 13h-1 Thereunder. Initial Filing (13H), Amended Filing (13H-Q), Annual Filing (13H-A), Inactive Status (13H-I), Reactivated Status (13H-R), and Termination Filing (13H-T)"
"144, 144/A";Filing for proposed sale of securities under Rule 144
"15-12B,15-12B/A";"Notice of termination of registration of a class of securities under Section 12(b)"
"15-12G,15-12G/A";"Notice of termination of registration of a class of securities under Section 12(g)"
"15-15D,15-15D/A";"Notice of suspension of duty to file reports pursuant to Section 13 and 15(d) of the Act"
"15F-12B,15F-12B/A";"Notice of termination by a Foreign Private Issuer of a class of equity securities under Section 12(b)"
"15F-12G,15F-12G/A";"Notice of termination of a foreign private issuer�s registration of a class of securities under Section 12(g)."
"15F-15D,15F-15D/A";"Notice of a foreign private issuer�s suspension of duty to file reports pursuant to Section 13 and 15(d) of the Act"
"17HACON,17HACON/A";Confidential broker dealer annual 17-H report
"17HQCON,17HQCON/A";Confidential broker dealer quarterly 17-H report
"18-12B,18-12B/A";"Form for initial registration of securities of foreign governments or political subdivisions pursuant to Section 12(b)"
"18-12G,18-12G/A";"Form for initial registration of securities of foreign governments or political subdivisions thereof pursuant to Section 12(g)"
"18-K, 18-K/A";"Annual report for foreign governments and political subdivisions"
"20-F, 20-F/A";"Annual and transition report of foreign private issuers pursuant to Section 13 or 15(d)"
"20FR12B,20FR12B/A";"Form for initial registration of a class of securities of foreign private issuers pursuant to Section 12(b)"
"20FR12G,20FR12G/A";"Form for initial registration of a class of securities of foreign private issuers pursuant to Section 12(g)"
"24F-2NT,24F-2NT/A";Rule 24F-2 notice filed on Form 24F-2
"25, 25/A";"Notification filed by issuer to voluntarily withdraw a class of securities from listing and registration on a national securities exchange"
"25-NSE, 25-NSE/A";"Notification filed by national security exchange to report the removal from listing and registration of matured, redeemed or retired securities"
"3, 3/A";Initial statement of beneficial ownership of securities
"305B2, 305B2/A";"Application for designation of a new trustee under the Trust Indenture Act"
"4, 4/A";"Statement of changes in beneficial ownership of securities"
"40-6B, 40-6B/A";"Application under the Investment Company Act by an employees� securities company"
"40-17F1,40-17F1/A";"Initial certificate of accounting of securities and similar investments in the custody of management investment companies filed pursuant to Rule 17f-1 of the Investment Company Act of 1940 filed on Form N-17F-1"
"40-17F2,40-17F2/A";"Initial certificate of accounting of securities and similar investments in the custody of management investment companies filed pursuant to Rule 17f-2 of the Investment Company Act of 1940 filed on Form N-17F-2"
"40-17G, 40-17G/A";"Fidelity bond filed pursuant to Rule 17g1(g)(1) of the Investment Company Act of 1940"
"40-17GCS,4017GCS/A";"Filings of claim or settlement pursuant to rule 17g-1(g)(1)(2) or (3) of the Investment Company Act of 1940"
"40-24B2,40-24B2/A";"Filing of sales literature pursuant to Rule 24b2 under the Investment Company Act of 1940"
"40-33, 40-33/A";"Copies of all stockholder derivative actions filed with a court against an investment company or an affiliate thereof pursuant to Section 33 of the Investment Company Act of 1940"
40-8B25;Document or report
"40-8F-2, 40-8F-2/A";"Initial application for de-registration pursuant to Investment Company Act Rule 0-2"
"40-APP, 40-APP/A";"Applications under the Investment Company Act other than those reviewed by Office of Insurance Products"
"40-F, 40-F/A";"Annual reports filed by certain Canadian issuers pursuant to Section 15(d) and Rule 15d-4"
"40FR12B,40FR12B/A";"Registration of a class of securities of certain Canadian issuers pursuant to Section 12(b) of the 1934 Act"
"40FR12G,40FR12G/A";"Registration of a class of securities of certain Canadian issuers pursuant to Section 12(g) of the 1934 Act"
"40-OIP, 40-OIP/A";"Applications under the Investment Company Act reviewed by Office of Insurance Products"
424A;Prospectus filed pursuant to Rule 424(a)
424B1;Prospectus filed pursuant to Rule 424(b)(1)
424B2;Prospectus filed pursuant to Rule 424(b)(2)
424B3;Prospectus filed pursuant to Rule 424(b)(3)
424B4;Prospectus filed pursuant to Rule 424(b)(4)
424B5;Prospectus filed pursuant to Rule 424(b)(5)
424B7;Prospectus filed pursuant to Rule 424(b)(7)
424B8;Prospectus filed pursuant to Rule 424(b)(8)
"424H, 424H/A";Preliminary Prospectus filed pursuant to Rule 424(h)
425;"Filing under Securities Act Rule 425 of certain prospectuses and communications in connection with business combination transactions"
485APOS;"Post-effective amendment filed pursuant to Securities Act Rule 485(a) (this filing cannot be submitted as a 1940 Act only filing)"
485BPOS;"Post-effective amendment filed pursuant to Securities Act Rule 485(b) (this filing cannot be submitted as a 1940 Act only filing)"
485BXT;"Post-effective amendment filed pursuant to Securities Act Rule 485(b)(1)(iii) to designate a new effective date for a post-effective amendment previously filed pursuant to Securities Act Rule 485(a) (this filing cannot be submitted as a 1940 Act only filing)"
486APOS;"Post-effective amendment to filing filed pursuant to Securities Act Rule 486(a) (this filing cannot be submitted as a 1940 Act only filing)"
486BPOS;"Post-effective amendment to filing filed pursuant to Securities Act Rule 486(b) (this filing cannot be submitted as a 1940 Act only filing)"
486BXT;"Post-effective amendment filed pursuant to Securities Act Rule 486(b)(1)(iii) to designate a new effective date for a post-effective amendment previously filed pursuant to Securities Act Rule 486(a) (this filing cannot be submitted as a 1940 Act only filing)"
487;"Pre-effective pricing amendment filed pursuant to Securities Act Rule 487"
